Window,Start_Idx,Horizon_Start,Horizon_End,Model,MAE,RMSE,WAPE,CRPS,Coverage_80,Interval_Width,Latency_ms
8,368932,2016-01-09 00:10,2016-01-09 16:00,DeepAR (Deep Learning),1.4930864572525024,1.7483450174331665,0.6078466176986694,1.3351207971572876,0.22916666666666666,1.1843924522399902,4036.0399999990477
9,379582,2016-03-22 23:10,2016-03-23 15:00,TimesFM-3 (Zero-Shot),0.6950274109840393,0.8800863027572632,0.15566124022006989,0.5107740163803101,0.84375,2.0718469619750977,192.65316700330004
9,379582,2016-03-22 23:10,2016-03-23 15:00,AutoARIMA,1.9728599786758423,2.1423757076263428,0.4418499767780304,1.7189193964004517,0.052083333333333336,1.6682506799697876,1756.750832995749
9,379582,2016-03-22 23:10,2016-03-23 15:00,LightGBM,0.9189085960388184,1.063297986984253,0.20580260455608368,0.8745074272155762,0.0625,0.18108217418193817,1677.0879169998807
9,379582,2016-03-22 23:10,2016-03-23 15:00,DeepAR (Deep Learning),1.0217458009719849,1.2381688356399536,0.22883446514606476,1.0087071657180786,0.020833333333333332,0.08454623073339462,4031.9816659975913
10,390231,2016-06-04 22:00,2016-06-05 13:50,TimesFM-3 (Zero-Shot),1.9321728944778442,2.4909262657165527,0.10951421409845352,1.5141009092330933,0.3958333333333333,3.220402479171753,191.53004200052237
10,390231,2016-06-04 22:00,2016-06-05 13:50,AutoARIMA,2.06235408782959,2.3579823970794678,0.11689279228448868,1.6602681875228882,0.3333333333333333,3.0709733963012695,1199.0724580027745
10,390231,2016-06-04 22:00,2016-06-05 13:50,LightGBM,3.334301233291626,3.806243658065796,0.18898586928844452,3.170835256576538,0.052083333333333336,0.738232433795929,1694.1046669962816
10,390231,2016-06-04 22:00,2016-06-05 13:50,DeepAR (Deep Learning),3.214040994644165,3.6327121257781982,0.1821696013212204,3.172802209854126,0.010416666666666666,0.27191856503486633,4010.992832998454
11,400881,2016-08-17 21:00,2016-08-18 12:50,TimesFM-3 (Zero-Shot),2.2083232402801514,2.862276077270508,0.1794852614402771,1.7325797080993652,0.6041666666666666,4.153282642364502,193.8758750038687
11,400881,2016-08-17 21:00,2016-08-18 12:50,AutoARIMA,2.6970279216766357,3.523911714553833,0.2192055732011795,2.306783437728882,0.34375,3.424471616744995,1937.7850000018952
11,400881,2016-08-17 21:00,2016-08-18 12:50,LightGBM,4.4880828857421875,5.096797466278076,0.3647766709327698,4.3224639892578125,0.052083333333333336,0.6892554759979248,1777.857208995556
11,400881,2016-08-17 21:00,2016-08-18 12:50,DeepAR (Deep Learning),3.9074926376342773,4.268436908721924,0.3175881803035736,3.843198537826538,0.03125,0.4278341829776764,4018.5036250040866
12,411531,2016-11-02 22:10,2016-11-03 14:00,TimesFM-3 (Zero-Shot),1.2435563802719116,1.3949731588363647,0.30666446685791016,0.8707532286643982,0.96875,5.118145942687988,193.13383399276063
12,411531,2016-11-02 22:10,2016-11-03 14:00,AutoARIMA,0.955502450466156,1.0695562362670898,0.23562955856323242,0.7179759740829468,0.9375,4.367975234985352,1965.3335420007352
12,411531,2016-11-02 22:10,2016-11-03 14:00,LightGBM,2.545999526977539,2.979246139526367,0.6278505921363831,2.431457281112671,0.21875,0.48218774795532227,1691.5032920005615
12,411531,2016-11-02 22:10,2016-11-03 14:00,DeepAR (Deep Learning),2.152244806289673,2.546302318572998,0.5307495594024658,2.0991053581237793,0.0625,0.34077396988868713,3999.7299579990795
